Unnamed: 0,CD8-Cell-Mean,CD88-Cell-Mean,CD4-Cell-Mean,SIRPa-Cell-Mean,CD56-Cell-Mean,HLA-DR-Cell-Mean,CD11c-Cell-Mean,PD-1-Cell-Mean,CD3-Cell-Mean,CD45-Cell-Mean,CD10-Cell-Mean,CD31-Cell-Mean,CAIX-Cell-Mean,CD20-Cell-Mean,IRF8-Cell-Mean,CD68-Cell-Mean,Cluster.id,Sample.ID,Tumour.NonTumour,ROI,X,Y,Tumour.Grade
43262,0,301.9666,0,0,127.7659,12.9506,0,0,0,87.9857,23.9952,57599.1602,11798.0879,0,516.6321,16.2054,Endo,AU87987,Stroma,Position 18,297.18,293.24,3
43263,0,0,0,0,0,60.9579,1.2492,0,0,0,7.6785,11575.3496,14938.292,0,193.0615,176.274,CAIX+ Tumour cells,AU87987,Stroma,Position 18,291.14,291.83,3
43264,0,410.942,193.5356,17.0886,3.0025,940.0141,17.2889,3.1954,28.755,2077.9702,0.9197,10493.4834,4195.7344,0,400.5944,410.4487,IRF8+HLA-DR+,AU87987,Stroma,Position 18,309.08,275.73,3
43265,0,680.0922,571.6089,1755.5516,0,3570.1355,0,0,13.7081,5783.2793,0,3252.0391,1761.5544,0,8831.4033,34.3715,IRF8+HLA-DR+,AU87987,Stroma,Position 18,77.42,40.22,3
43266,0,1855.074,481.6884,29759.4238,0,1816.1381,0,0,27461.9707,34986.8867,0,2497.7402,4638.7671,0,178.5116,0,DN T cells,AU87987,Stroma,Position 18,74.3,48.77,3
43267,0,598.8557,503.3729,14678.3926,0,6315.0884,233.3314,53.0071,35204.5781,30961.5527,73.2543,2579.5071,4517.5645,0,8067.3643,0,DN T cells,AU87987,Stroma,Position 18,364.56,415.42,3
43268,13349.5791,307.7463,273.1436,13442.1055,9.1547,1504.9863,136.6238,75.2921,30483.6914,29056.752,0.3354,19525.0762,3548.8787,0,761.4134,260.3564,DN T cells,AU87987,Stroma,Position 18,380.89,435.21,3
43269,13975.2461,1125.3463,323.2524,124.3441,0,11970.6475,0,107.6537,3852.1855,6378.5254,0.1737,26281.1816,2745.8804,0,7936.0454,29.8511,IRF8+HLA-DR+,AU87987,Stroma,Position 18,388.18,443.59,3
43270,20220.4121,3599.5723,31880.4492,5510.2563,40.5711,12272.4434,193.0089,28236.6309,19581.7129,47798.3906,85.0495,6574.4238,3299.344,0,972.1053,790.7005,IRF8+HLA-DR+,AU87987,Stroma,Position 18,453.2,50.53,3
43271,156.4538,2762.217,1207.455,72.9053,0.4088,8752.9053,0,41.5254,456.8326,3847.4805,0,3677.2817,1432.3257,0,12816.0898,392.4919,IRF8+HLA-DR+,AU87987,Stroma,Position 18,443.25,56.94,3
43272,0,212.3722,3139.6294,0,0,0,0,0.0189,0,0,4.4991,407.6381,1038.4048,0,3135.9536,0,IRF8+HLA-DR+,AU87987,Stroma,Position 18,288.37,28.4,3
43275,8.6835,58.186,4.0749,0,1286.8317,0,0,0,5002.1206,0,0,8854.792,933.8317,0,194.7113,0,DN T cells,AU87987,Stroma,Position 18,270.41,30.39,3
43276,0,43.5629,0,0,0,14.1353,0,0,0,0,0,21239.7109,1687.0785,0,54.701,0,Endo,AU87987,Stroma,Position 18,180.09,30.63,3
43278,1168.9164,4.3626,2.1669,166.3306,3.0404,26.4389,390.4821,0,10295.834,0,0.7259,54.1908,1877.5275,0,274.0457,7.9866,DN T cells,AU87987,Stroma,Position 18,205.49,31.25,3
43279,133.2499,777.2328,675.007,0,0.2712,8.9988,0,0,5.1372,0,1.1263,14936.6963,6074.146,0,2645.396,116.1538,Endo,AU87987,Stroma,Position 18,110.06,30.87,3
43280,4579.5757,4037.5264,2506.2581,1121.2136,0,1266.4725,165.5245,943.5563,7676.541,1907.2646,0,6945.2964,2564.8152,0,4847.2764,653.4379,CD88+ Monocytes,AU87987,Stroma,Position 18,328.18,31.66,3
43281,0,2801.6787,1504.4382,0,136.8221,15.4514,51.1713,2.6129,1466.9934,0,0,26008.3691,2386.1943,0,2918.8879,5741.3066,IRF8+HLA-DR+,AU87987,Stroma,Position 18,310.27,32.02,3
43282,0,11586.7393,8128.9463,142.7339,140.8929,1087.9839,149.7446,15.1304,113.3786,179.7357,16.4714,42604.2031,2585.3787,0,7808.5356,1371.4679,IRF8+HLA-DR+,AU87987,Stroma,Position 18,128.46,32.82,3
43283,23154.9238,1014.9623,320.9067,166.0645,0,529.4424,173.2887,0,15203.8037,8814.2148,1.0347,8202.2373,773.9196,0,414.371,169.4702,CD8 T cells,AU87987,Stroma,Position 18,336.25,35.63,3
43284,1249.0027,1737.6968,670.9124,13539.4414,1.6676,2994.8191,272.8365,0.0384,18724.1523,11383.127,2.726,1303.1781,4729.8062,0,785.4055,387.0329,DN T cells,AU87987,Stroma,Position 18,344.88,35.37,3
43285,2228.7656,0,110.5961,10529.6826,0,158.5992,65.6146,183.2364,15704.9824,7855.3105,0,240.3022,320.3731,0,116.7688,0,DN T cells,AU87987,Stroma,Position 18,357.8,35.06,3
43286,24374.4062,3702.1113,1259.3314,3714.4832,0,1010.8408,1229.0253,477.3745,28852.668,7013.6763,38.1873,15216.3184,6420.0664,0,1088.4523,4009.1067,CD8 T cells,AU87987,Stroma,Position 18,320.69,34.71,3
43287,18123.3906,0,4789.7261,0,29.3434,157.5412,34.762,4593.0171,1982.5482,625.495,3.1606,1106.5432,851.8956,0,185.24,78.6516,CD8 T cells,AU87987,Stroma,Position 18,261.3,36.06,3
43288,0,944.1735,7385.0918,886.6459,0,1686.6055,27.0833,5878.5308,1461.516,4702.0474,0.5798,50724.0977,3619.9861,0,1684.2234,353.8591,IRF8+HLA-DR+,AU87987,Stroma,Position 18,286.59,37.13,3
43289,0,1170.2744,53.5382,41.7646,2.8171,914.7211,0,0,7.3178,1231.6207,0,17760.9258,3120.4543,0,2496.3223,515.5082,Endo,AU87987,Stroma,Position 18,100.4,38.97,3
43290,0,31.153,4855.0234,1111.7687,29.5325,411.4472,183.7863,4749.5186,5519.5249,4188.7583,0.2489,814.2568,1817.3025,0,549.7247,57.8791,IRF8+HLA-DR+,AU87987,Stroma,Position 18,245.39,37.61,3
43291,0,28.6982,16.0672,0,14.4801,193.5295,0,0,1023.0754,102.727,3.3443,58344.9688,6147.8628,0,588.7901,231.1344,Endo,AU87987,Stroma,Position 18,313.35,38.47,3
43292,0,2025.7902,896.8647,582.334,198.2086,59.8876,0.8045,18.6344,10.9938,812.3519,12.5996,19537.291,3211.0156,0,331.9938,810.6089,IRF8+HLA-DR+,AU87987,Stroma,Position 18,146.19,41.16,3
43293,1683.6672,653.5996,616.2731,19644.8418,19.4802,1070.8098,3112.9329,600.8373,33191.6328,24413.8105,25.776,1517.3685,4312.084,1.6711,691.1815,540.3372,DN T cells,AU87987,Stroma,Position 18,368.4,41.14,3
43294,0,36.5968,0,0,0,8.6496,0,0,226.4619,0,9.8402,20537.3828,2363.9487,0,265.7009,1.2947,Endo,AU87987,Stroma,Position 18,154,41.07,3
43295,0,510.3607,724.3781,75.9118,11.1843,1068.2032,33.3919,90.3296,304.1843,2216.353,2.1488,21095.0469,2499.0977,0,885.769,219.0121,Endo,AU87987,Stroma,Position 18,271.76,41.69,3
43296,0,1195.5759,3333.8281,25805.4648,0,8993.4756,146.8728,2875.9353,22329.1445,29679.9102,0,7820.2075,5757.4307,0,322.9487,155.0246,DN T cells,AU87987,Stroma,Position 18,350.72,43.31,3
43297,0,437.1902,7.5305,9.7627,0,1962.8883,0,0,1.6963,5443.3071,0,553.3717,921.5602,0,2120.0088,3625.5061,IRF8+HLA-DR+,AU87987,Stroma,Position 18,53.22,43.51,3
