Unnamed: 0,CD8-Cell-Mean,CD88-Cell-Mean,CD4-Cell-Mean,SIRPa-Cell-Mean,CD56-Cell-Mean,HLA-DR-Cell-Mean,CD11c-Cell-Mean,PD-1-Cell-Mean,CD3-Cell-Mean,CD45-Cell-Mean,CD10-Cell-Mean,CD31-Cell-Mean,CAIX-Cell-Mean,CD20-Cell-Mean,IRF8-Cell-Mean,CD68-Cell-Mean,Cluster.id,Sample.ID,Tumour.NonTumour,ROI,X,Y,Tumour.Grade
74357,10644.3662,9714.4053,4526.4268,10292.416,0,371.5367,923.0602,6323.6494,30419.375,36784.5781,0,37.8115,760.2461,5.5366,726.3115,1679.1492,DN T cells,AU87781,Stroma,Position 95,386.34,441.16,4
74358,1113.2482,5598.7188,10658.9951,1505.7249,15.4423,214.043,1460.6609,5661.2124,3695.9729,13905.1113,0,5029.5396,1661.8195,0,5158.2593,402.6953,IRF8+HLA-DR+,AU87781,Stroma,Position 95,382.92,448.24,4
74359,3561.5964,9184.8027,1955.8032,12432.6025,0,698.4493,3649.5229,57.3419,22321.2129,25005.8105,0,7.8608,912.004,1.9085,889.0079,1148.2186,DN T cells,AU87781,Stroma,Position 95,394.84,444.92,4
74360,51.7083,559.6476,92.2597,1173.6256,0,37.5565,203.3018,17.9174,2025.2175,5157.5903,0,1934.2581,1436.9359,0,868.1265,0,DN T cells,AU87781,Stroma,Position 95,402.31,449.73,4
74361,24198.1172,2376.6296,551.5437,42.1777,0,589.1792,12684.834,962.7425,27574.8848,33893.5156,0,7165.2227,609.488,0,202.7831,124.0346,CD8 T cells,AU87781,Stroma,Position 95,432.76,456.78,4
74362,13607.6465,1498.5095,211.173,20802.4941,0,151.962,7008.3442,32.2719,30535.5078,28457.623,0,1.9449,2079.9106,0,297.5951,160.9601,DN T cells,AU87781,Stroma,Position 95,404.08,504.44,4
74363,7942.5728,2695.2056,2313.1794,548.6264,1.7928,258.4666,10028.1064,1653.3295,5653.1289,17792.373,0,385.9755,1321.5922,14.5302,322.46,1968.6117,CD8 T cells,AU87781,Stroma,Position 95,411.14,509.02,4
74364,659.3931,4593.0552,1523.5198,3.3219,0,342.1953,3867.2771,638.0501,384.0132,8777.5889,0,0,401.3509,0,3308.1636,10.7889,CD8 T cells,AU87781,Stroma,Position 95,324.41,468.99,4
74365,2937.7842,2525.7439,588.5444,10.7762,0,35.6472,1582.3488,10.5827,20497.7285,32895.7617,0,0,237.3992,1.0766,597.4456,4.3911,CD8 T cells,AU87781,Stroma,Position 95,328.24,464.32,4
74366,2496.1211,12947.9697,4522.7881,0,0,2.697,3511.9697,0,17315.4844,48640.9688,0,0,34.8182,0,1078.697,0,CD8 T cells,AU87781,Stroma,Position 95,331.44,466.36,4
74367,160.2873,10051.9443,2377.4502,90.2348,0,161.2707,51.7873,346.8453,0,8452.7432,0,0,385.0497,22.8232,4874.8755,158.9144,CD88+ Monocytes,AU87781,Stroma,Position 95,248.26,422.65,4
74368,0,7138.5522,2000.7028,251.8776,0,155.2692,0,508.6399,0,4687.3848,0,0,384.7378,0,35230.3047,115.2343,IRF8+HLA-DR+,AU87781,Stroma,Position 95,251.74,427.94,4
74369,0,9503.8662,6743.0684,65.2045,0,584.767,0,6868.2729,0,2370.0569,0,0,1415.4602,20.9261,232.0739,397.5312,CD88+ Monocytes,AU87781,Stroma,Position 95,166.23,106.46,4
74370,0,11637.877,4208.874,2.0147,0,355.5777,0,243.478,0,9522.293,0,0,1160.6539,20.3959,843.2668,115.0762,CD88+ Monocytes,AU87781,Stroma,Position 95,162.15,110.04,4
74372,5492.1924,2038.8287,575.3996,0,0,1593.1881,611.1501,73.9408,6923.0908,16881.3086,0,0,1273.6216,0,52.2156,183.6131,CD8 T cells,AU87781,Stroma,Position 95,570.85,361.42,4
74373,0,6005.7949,4270.7227,7.0073,28.7806,433.6582,131.7794,90.0582,0,0,0,514.1345,6257.4824,0,320.5139,665.5309,CD88+ Monocytes,AU87781,Stroma,Position 95,558.68,30.29,4
74374,680.2108,33.3678,0,0,0,464.4753,1333.7977,7.5304,6275.0918,0,0,0,4274.8955,0,115.5601,260.6987,DN T cells,AU87781,Stroma,Position 95,392.71,30.1,4
74376,833.3693,3446.5132,945.3983,41.1591,0,299.8755,644.3679,73.0968,16333.6182,57.1521,0,10.1549,2903.1218,0,686.7012,1764.5726,DN T cells,AU87781,Stroma,Position 95,597.14,31.13,4
74377,0,3101.1335,633.7302,25.3756,0,1479.0337,28.09,2082.9138,0,22.8448,0,5.5292,10856.4746,0,9158.2676,182.1972,IRF8+HLA-DR+,AU87781,Stroma,Position 95,570.19,31.53,4
74379,6491.5908,4920.9312,579.7289,0,0,688.2931,2541.9067,1.1373,11212.1582,224.1709,4.9355,519.6713,1805.7137,0,551.8312,37.3995,CD8 T cells,AU87781,Stroma,Position 95,383.15,33.55,4
74382,93.1323,5632.8848,2750.1831,236.5483,0,1193.6189,45.6199,735.2786,1799.8358,1512.8159,0,30.004,1316.9502,0.5632,2850.3542,1160.0637,CD88+ Monocytes,AU87781,Stroma,Position 95,591.19,36.5,4
74383,1625.2853,378.9375,17.9183,53.1619,25.7356,2368.1089,21.0593,0,1155.9615,1378.774,0,0,29025.4336,0,189.9391,432.25,CAIX+ Tumour cells,AU87781,Stroma,Position 95,616.89,36.19,4
74384,4576.2764,6657.0513,1665.5377,231.8897,0,1676.6661,752.0257,0,1914.3564,2066.3323,0,431.284,5435.2524,0,75.2085,54.9335,CD8 T cells,AU87781,Stroma,Position 95,404.41,36.4,4
74386,1.6524,7207.6494,16701.4238,118.4992,43.3997,5826.4614,4.8578,15526.8779,0.0379,11318.7236,3.1327,0.4866,891.3381,0,4179.627,793.8026,IRF8+HLA-DR+,AU87781,Stroma,Position 95,578.13,39.37,4
74387,651.6524,2803.6104,2253.1379,210.6251,0,1686.3763,0,5584.2847,595.2834,886.3085,2.4317,14.3535,5737.5151,6.8347,885.9727,407.6214,IRF8+HLA-DR+,AU87781,Stroma,Position 95,563.37,41.07,4
74389,0,469.0449,16.6587,0,0,4910.7354,2.1442,0,3.9038,0,0,0,3728.9775,0.8157,158.6907,705.1923,IRF8+HLA-DR+,AU87781,Stroma,Position 95,604.46,42.67,4
74390,1435.1516,1276.6926,699.0751,23.5747,0,1413.3586,938.5488,390.7642,1063.5979,3708.6709,0,4.6386,5525.3979,1.36,157.0225,253.48,CD8 T cells,AU87781,Stroma,Position 95,528.7,43.75,4
74391,0,182.3223,51.4104,24.8805,0,2140.3584,0,285.2728,0.441,0,21.2807,0,16211.8584,3.3836,44.2319,537.2382,CAIX+ Tumour cells,AU87781,Stroma,Position 95,491.59,43.99,4
74392,124.466,4681.5615,1633.7688,25.6961,43.4648,6495.4385,1670.3373,0,122.5709,3447.9678,0,0,4676.6221,0,954.7842,202.7223,IRF8+HLA-DR+,AU87781,Stroma,Position 95,576.86,46.19,4
74395,955.5465,839.0212,210.5077,49.5477,0,6090.312,9.6325,3370.1401,248.1684,2214.5466,0,0,2372.3533,0,293.967,285.4594,IRF8+HLA-DR+,AU87781,Stroma,Position 95,618.51,47.45,4
74396,97.2169,3275.7983,1595.7975,58.227,0,2141.3638,0,465.3004,55.3156,627.8954,0,27.8835,10678.7344,0,70.7789,159.0456,CD88+ Monocytes,AU87781,Stroma,Position 95,473.57,48.53,4
74397,819.7049,270.1635,0,119.8217,0,1056.3461,2166.1868,0,390.9427,1712.0043,0,0.5902,3625.1677,2.1975,95.7983,405.8578,CAIX+ Tumour cells,AU87781,Stroma,Position 95,537.43,48.19,4
74398,0,8381.9248,1507.3337,129.2795,0,355.2633,24.5395,0,0,4259.7388,0,12.6739,2612.0303,3.6977,178.9805,1223.4756,CD88+ Monocytes,AU87781,Stroma,Position 95,639.96,49.4,4
