Sample ID,Chip ID,ROI,Parent,X,Y,CD8_Cell_Mean,CD88_Cell_Mean,CD4_Cell_Mean,SIRPa_Cell_Mean,CD56_Cell_Mean,HLA-DR_Cell_Mean,CD11c_Cell_Mean,PD-1_Cell_Mean,CD3_Cell_Mean,CD45_Cell_Mean,CD10_Cell_Mean,CD31_Cell_Mean,CAIX_Cell_Mean,CD20_Cell_Mean,IRF8_Cell_Mean,CD68_Cell_Mean,CAIX_Status,CD3_Status,CD4_Status,CD8_Status,CD10_Status,CD11c_Status,CD20_Status,CD31_Status,CD45_Status,CD56_Status,CD68_Status,CD88_Status,HLA-DR_Status,IRF8_Status,PD-1_Status,SIRPa_Status,Cell_Type
AU94845,M872808,Position 14,Stroma,286.63,469.54,0.0,119.8429,0.0,0.0,0.5711,8.9323,9.4415,0.0,0.0,5.2511,3892.7065,0.0,3900.8108,0.0,0.0,5871.4922,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Tumour cells
AU94845,M872808,Position 14,Stroma,291.95,461.68,0.0,63.5402,13.4195,0.0,0.0,17.2897,7.0966,0.0,0.0,0.0,1890.1575,0.0,8144.1392,0.0,16.5368,4107.5723,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Tumour cells
AU94845,M872808,Position 14,Stroma,297.35,470.93,0.0,109.9806,10.7163,0.0,20.8407,6.8472,34.9067,0.0,28.1373,22.8666,2473.5271,0.0,12255.4814,0.0,0.0,5556.3887,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Tumour cells
AU94845,M872808,Position 14,Stroma,450.44,122.91,21851.3965,8897.5908,905.6125,3870.1211,1.0628,8568.0762,8674.7617,926.7121,6840.3584,23900.0352,1137.4437,4147.1538,5347.6699,0.0,4616.4619,2920.1807,Positive,Positive,Negative,Positive,Negative,Positive,Negative,Negative,Positive,Negative,Negative,Positive,Positive,Negative,Negative,Positive,NULL
AU94845,M872808,Position 14,Stroma,458.18,124.61,769.301,323.9452,79.7768,0.0,0.0,13.9247,152.7398,0.0,24.3635,56.3431,1956.6353,0.6798,20237.7754,0.0,94.8125,5925.25,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Tumour cells
AU94845,M872808,Position 14,Stroma,664.57,336.53,6013.4209,185.8051,9012.3311,5107.2202,53.4815,0.0,207.1852,4017.3704,18623.2812,14997.2461,0.0,2.2651,140.1209,0.0,0.0,14.2281,Negative,Positive,Positive,Positive,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Positive,Positive,NULL
AU94845,M872808,Position 14,Stroma,653.09,359.8,6472.355,1644.3811,9195.9385,2001.2947,0.0,0.1433,380.7804,2443.1672,34835.6875,36841.6562,0.0,4.7588,626.9409,0.0,927.9465,2764.6565,Negative,Positive,Positive,Positive,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Positive,Negative,NULL
AU94845,M872808,Position 14,Stroma,664.78,366.74,12342.4648,372.4153,9080.1104,76.4339,70.0305,0.0,147.6661,17.7593,20390.2207,19222.3789,0.0,0.0,47.2441,0.0,0.0,248.2288,Negative,Positive,Positive,Positive,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,661.01,359.87,46296.7148,405.0971,3843.0596,48.0177,0.0,0.0,1532.0309,578.6821,26712.4395,23452.3105,0.0,0.0,0.0,0.0,0.0,458.8389,Negative,Positive,Positive,Positive,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,540.72,29.16,0.0,15.9618,0.0,7.8157,0.0,0.0,3.9056,0.0,0.0,0.0,0.0,7446.4224,4277.1777,0.0,52.1326,247.3955,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Tumour cells
