Sample ID,Chip ID,ROI,Parent,X,Y,CD8_Cell_Mean,CD88_Cell_Mean,CD4_Cell_Mean,SIRPa_Cell_Mean,CD56_Cell_Mean,HLA-DR_Cell_Mean,CD11c_Cell_Mean,PD-1_Cell_Mean,CD3_Cell_Mean,CD45_Cell_Mean,CD10_Cell_Mean,CD31_Cell_Mean,CAIX_Cell_Mean,CD20_Cell_Mean,IRF8_Cell_Mean,CD68_Cell_Mean,CAIX_Status,CD3_Status,CD4_Status,CD8_Status,CD10_Status,CD11c_Status,CD20_Status,CD31_Status,CD45_Status,CD56_Status,CD68_Status,CD88_Status,HLA-DR_Status,IRF8_Status,PD-1_Status,SIRPa_Status,Cell_Type,CAIX_AutoThreStatus,CD3_AutoThreStatus,CD4_AutoThreStatus,CD8_AutoThreStatus,CD10_AutoThreStatus,CD11c_AutoThreStatus,CD20_AutoThreStatus,CD31_AutoThreStatus,CD45_AutoThreStatus,CD56_AutoThreStatus,CD68_AutoThreStatus,CD88_AutoThreStatus,HLA-DR_AutoThreStatus,IRF8_AutoThreStatus,PD-1_AutoThreStatus,SIRPa_AutoThreStatus,AutoThre_Cell_Type,Cluster.id
AU94844,M1771243,Position 28,Stroma,134.51,458.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,CD10+
AU94844,M1771243,Position 28,Stroma,127.51,456.37,0.0,25.546,50.4448,0.0,0.0,0.0,71.3926,0.0,31.8788,1.7301,29.658,0.0,1279.4755,26.2623,134.7055,4.362,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,
AU94844,M1771243,Position 28,Stroma,118.24,455.29,4.158,85.8531,21.842,0.0,1004.1938,0.0,139.8321,0.0,1.3642,1.4049,1.2111,0.0,4813.6138,223.358,228.8951,76.3099,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Tumour cells,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Tumour cells,CD56+
AU94844,M1771243,Position 28,Stroma,553.39,34.37,13625.3076,0.0,0.0,0.0,68.1133,0.0,114.0955,0.0,4034.3894,0.0,1.0986,0.0,32.4669,0.0,60.68,66.8269,Negative,Positive,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,Negative,Positive,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,CD8 T cells
AU94844,M1771243,Position 28,Stroma,555.2,40.77,8127.1714,0.0,0.0,0.0,0.0,3.308,1.3567,0.0,87.6121,78.5088,0.0,0.0,22.9493,0.0,0.0,0.0,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,CD8 T cells
AU94844,M1771243,Position 28,Stroma,483.74,51.17,0.0,1526.4067,4.4445,2525.0881,97.0779,25.5429,188.8403,1610.679,0.0,6700.9243,23.3721,0.0,446.2982,314.2187,1442.7679,89.6546,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Positive,Negative,,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,Mono/Macs/cDC2s
AU94844,M1771243,Position 28,Stroma,466.29,51.32,8243.8486,57.5326,1088.988,9.5506,729.0132,2.1311,255.5518,0.0,716.9072,7739.6787,45.7247,0.0,2395.45,563.0473,34.7977,66.5775,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,CD8 T cells
AU94844,M1771243,Position 28,Stroma,342.45,53.92,0.0,0.7974,4313.6709,0.0,153.7753,0.0,94.4068,0.0,2017.207,13612.8027,0.0,0.0,221.4861,21.6476,0.5455,2.4883,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,CD4 T cells
AU94844,M1771243,Position 28,Stroma,533.85,54.88,0.0,337.6264,6941.2705,526.333,200.8378,30.444,464.3571,21.6515,3484.0637,19054.2539,76.3726,0.0,1380.2365,199.9585,10.5492,1823.1544,Negative,Positive,Positive,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,CD4 T cells,Negative,Positive,Positive,Negative,Negative,Positive,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,CD4 T cells
AU94844,M1771243,Position 28,Stroma,546.23,54.96,23859.1387,367.6855,0.0,356.3463,20.5177,0.0,313.8163,0.0,5435.7261,8357.6309,7.9717,0.0,1223.4647,380.8781,0.0,23.9876,Negative,Positive,Negative,Positive,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,CD8 T cells,Negative,Positive,Negative,Positive,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,CD8 T cells,CD8 T cells
AU94844,M1771243,Position 28,Stroma,591.91,55.7,0.0,89.0928,11900.9102,55.4974,205.0459,0.0,173.682,0.0,8636.7217,19624.6582,37.1147,0.0,413.8551,1.5308,0.0,41.7539,Negative,Positive,Positive,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,CD4 T cells,Negative,Positive,Positive,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,CD4 T cells,CD4 T cells
AU94844,M1771243,Position 28,Stroma,433.7,57.28,0.0,355.9724,88.1309,19553.2617,230.3575,1380.5865,402.7218,7665.7476,11.2705,3427.9775,126.8829,0.0,2056.4211,592.006,0.0,268.0422,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Positive,Positive,,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Positive,,Mono/Macs/cDC2s
AU94844,M1771243,Position 28,Stroma,580.07,65.36,0.0,19.0768,17751.9336,21.2726,917.4712,0.0,256.2793,0.0,2134.9683,31903.0312,15.0758,0.0,780.6142,0.0,0.0,74.3061,Negative,Positive,Positive,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,CD4 T cells,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,CD4 T cells
AU94844,M1771243,Position 28,Stroma,350.1,67.25,0.0,0.0,0.0,0.0,280.5661,0.0,7.3391,0.0,0.0,1786.3361,0.0,0.0,31.3114,0.0,0.0,10.4205,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,
AU94844,M1771243,Position 28,Stroma,556.9,71.63,1465.8577,15.5496,11.9254,15.6742,635.0854,3.1001,179.4583,0.0,7172.1313,8974.3389,94.8842,0.0,817.7733,64.264,8.3268,71.6026,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,CD4 T cells
AU94844,M1771243,Position 28,Stroma,574.25,79.66,2.3,1874.05,6930.7368,1479.3888,304.3245,0.0,115.4327,431.8071,8970.8867,17757.5293,53.3969,0.0,3198.8357,637.1898,0.0,287.0735,Negative,Positive,Positive,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,CD4 T cells,Negative,Positive,Positive,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,CD4 T cells,CD4 T cells
AU94844,M1771243,Position 28,Stroma,390.18,85.34,0.0,526.7715,0.0,17.0707,88.798,9.3838,769.9432,0.0,0.0,448.553,47.3068,0.0,1539.8738,663.9432,17.1591,176.8018,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,CD10+
AU94844,M1771243,Position 28,Stroma,402.34,86.01,473.8665,61.7017,0.0,813.864,22.4775,3.8626,244.7471,68.5935,0.0,5424.3516,53.1784,0.0,728.6668,248.0746,11.0449,35.0471,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,
AU94844,M1771243,Position 28,Stroma,596.83,86.6,0.0,1292.7438,7030.6021,851.0875,543.4753,13.6924,354.1667,690.8735,4631.2725,9027.9365,215.7109,0.0,2812.4373,905.287,0.5638,2244.7769,Negative,Positive,Positive,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,CD4 T cells,Negative,Positive,Positive,Negative,Negative,Positive,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,CD4 T cells
AU94844,M1771243,Position 28,Stroma,550.56,87.52,192.9944,8930.3203,811.5432,10397.3535,764.0954,170.3143,201.367,8019.4233,16.8339,2105.8845,0.6207,0.0,226.578,0.0,22.2671,7208.8418,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Positive,Positive,Negative,Negative,Positive,Positive,,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Positive,Negative,Negative,Positive,Positive,,Mono/Macs/cDC2s
AU94844,M1771243,Position 28,Stroma,496.73,88.35,0.0,12289.3896,459.4737,3120.2549,275.4729,421.2628,378.0416,1563.2886,3.1067,1622.6957,0.8627,0.0,1092.0918,37.3514,58.5992,3818.1028,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Positive,Negative,,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,,Mono/Macs/cDC2s
AU94844,M1771243,Position 28,Stroma,619.46,94.35,11657.5195,156.7702,0.0,51.8632,239.8851,0.0,398.0142,0.0,8427.499,6851.8608,111.244,0.0,8135.9258,3183.0864,16.2538,46.1214,Positive,Positive,Negative,Positive,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,Positive,Positive,Negative,Positive,Negative,Positive,Positive,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,CD8 T cells
AU94844,M1771243,Position 28,Stroma,454.94,95.65,0.5916,2895.3689,0.8956,5268.4863,76.6899,16.5352,230.3488,2056.9636,0.0,6589.0425,37.9536,0.0,2043.7626,754.9621,36.4377,26.4416,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Positive,Negative,,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Positive,Negative,Negative,Negative,Negative,,Mono/Macs/cDC2s
AU94844,M1771243,Position 28,Stroma,406.87,98.85,62.2719,2826.0718,16.0507,1581.1816,0.0,49.9282,164.4042,1291.8248,0.0,2621.2441,96.3298,0.0,609.7162,148.1639,0.0,2122.9026,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,,Mono/Macs/cDC2s
